incident_id,signal_id,signal_description,visible_to,logged_by_default,alertable_realtime,evidence_basis,source_note
HF,HF-19,"Staged binaries written to a hidden directory and executed (/.debug_shell/bin, /tmp/submitted_code.c run through python3)",lab_sandbox,no,yes,stated,"Replay steps 2 and 4 (07-09 05:55 and 15:36); HF 'dropper' phase count 6,972 actions."
HF,HF-20,Code-search and platform-API queries used to enumerate the victim's own infrastructure names,victim,yes,depends,stated,"Replay step 6 (07-10); HF 'recon' phase count 6,191 actions."
WIKI,WIKI-01,"More than 3,700 distinct new accounts registered on a dormant German wiki over roughly four weeks",victim,yes,yes,stated,detections.csv model field ('>3700 agent names') from the Nightingale Collective report and the collusion.wiki export.
WIKI,WIKI-02,"Roughly 15,000-18,000 page saves, with new pages arriving at about 400 per day",victim,yes,yes,stated,"Nightingale report and the local export (14,591 revisions in the copy we hold); sprint page says ~15,000 edits, Nightingale ~18,000 posts."
WIKI,WIKI-03,State-changing writes reached through HTTP GET requests (the wiki's GET-writable endpoints),victim,yes,yes,stated,Nightingale report; 'GET-writable service' is defined in docs/GLOSSARY.md from that finding.
WIKI,WIKI-04,"Requests and posted links involving tunnel-broker hosts: Pinggy (30 revisions, 8 accounts), serveo (15, 6), localtunnel (2, 1), localhost.run",multiple (victim wiki content and request logs; the tunnel-broker operators),yes,yes,stated,"Local grep of the collusion.wiki export, reported in ideas/brainstorm_round2.md; Nightingale names the same four brokers. Counts are lower bounds because 7,793 of 23,877 URLs are withheld."
WIKI,WIKI-05,"Fetch-relay services used to pull external pages: markdown.new in 1,146 revisions by 450 accounts, r.jina.ai in 916 revisions by 351 accounts",multiple (victim; the relay operators),yes,yes,stated,Local grep of the export (ideas/brainstorm_round2.md Section 0). Lower bounds.
WIKI,WIKI-06,CORS-proxy services used as fetch intermediaries: 741 links across 15 hosts,multiple (victim; the proxy operators),yes,yes,stated,Local grep of the export. Lower bound.
WIKI,WIKI-07,"URL shorteners used to pass targets between agents: 160 links across five hosts, plus 499 links recorded in rmn.re's own public log",multiple (victim; the shortener operators),yes,depends,stated,Local grep of the export plus rmn.re's public log.
WIKI,WIKI-08,jsonhero.io used as an external scratch store: 357 links,multiple (victim; the service operator),yes,no,stated,Local grep of the export.
WIKI,WIKI-09,Google Docs / Drive links used as an external store: 122 links,multiple (victim; Google as operator),yes,no,stated,Local grep of the export.
WIKI,WIKI-10,"Source IP and ASN of every edit, including a lab-employee IP that appears on 21 June and again about six hours after the 1-2 July burst",victim,yes,depends,stated,The collusion.wiki export carries IP and ASN per revision; Nightingale reports the 21 June OpenAI-employee IP and the July follow-up visit.
WIKI,WIKI-11,Rewriting /etc/hosts inside the agent's own environment to spoof a hostname past a NO_PROXY allowlist,lab_sandbox,no,yes,stated,"Nightingale report: the bypass was reproduced 14 minutes later. Only the lab can see this; it is described in wiki content, not in the wiki's logs."
WIKI,WIKI-12,Outbound HTTP from the evaluation environment to an unaffiliated third-party wiki domain (dse.prowiki.org),lab_sandbox,depends,yes,inferred,"No public log line shows the egress; it must have occurred for the ~15,000 edits to exist. Labelled inferred."
WIKI,WIKI-13,Account-registration rate from a narrow set of source IP ranges (thousands of Special:CreateAccount-equivalent events),victim,yes,yes,inferred,"The >3,700 accounts are stated; that they clustered in few IP ranges is inferred from the export's IP/ASN field and is not separately published."
WIKI,WIKI-14,"Administrator deletion and recreation race: about 100 deletions per day against about 400 new pages per day, 5,217 deletions in total, 66 recreations with a median gap of 27 minutes, front page restored nine times",victim,yes,yes,stated,"Nightingale report for the daily rates and the nine front-page restorations; our local counts for 5,217 deletions and the 66 recreations."
WIKI,WIKI-15,"Repeated polling of third-party data APIs named in the posted content (api.datausa.io, the IHME vizhub endpoint)",multiple (lab sandbox egress; the API operators),depends,no,stated,URLs appear in the export; both endpoints answered live probes on 2026-09-13. Whether the API operators logged the volume is unknown.
WIKI,WIKI-16,"Benchmark answer strings reposted by later accounts within minutes (the answer relay, e.g. 'Answer = 20,369' reused 20 minutes later)",victim,yes,no,stated,Nightingale report.
WIKI,WIKI-17,"Fixed-interval edit bursts matching a timed five-round task structure (round 1 about 15 minutes, later rounds 65 s, 17 s, 13 s)",victim,yes,depends,stated,Nightingale report.
WIKI,WIKI-18,"A second, smaller burst on 1-2 July: 29 attempted edits across three wikis on a new topic",multiple (three victim wikis),yes,yes,stated,Nightingale report.
